id,Kmeans_10,target
1,4,Class_1
2,4,Class_1
3,4,Class_1
4,4,Class_1
5,4,Class_1
6,4,Class_1
7,4,Class_1
8,4,Class_1
9,4,Class_1
10,4,Class_1
11,4,Class_1
12,4,Class_1
13,4,Class_1
14,4,Class_1
15,4,Class_1
16,4,Class_1
17,9,Class_1
18,9,Class_1
19,4,Class_1
20,4,Class_1
21,4,Class_1
22,4,Class_1
23,6,Class_1
24,4,Class_1
25,4,Class_1
26,4,Class_1
27,4,Class_1
28,6,Class_1
29,4,Class_1
30,4,Class_1
31,6,Class_1
32,4,Class_1
33,6,Class_1
34,6,Class_1
35,4,Class_1
36,4,Class_1
37,6,Class_1
38,4,Class_1
39,6,Class_1
40,6,Class_1
41,6,Class_1
42,6,Class_1
43,4,Class_1
44,6,Class_1
45,6,Class_1
46,4,Class_1
47,6,Class_1
48,9,Class_1
49,9,Class_1
50,4,Class_1
51,4,Class_1
52,6,Class_1
53,6,Class_1
54,4,Class_1
55,4,Class_1
56,4,Class_1
57,8,Class_1
58,4,Class_1
59,4,Class_1
60,6,Class_1
61,6,Class_1
62,6,Class_1
63,6,Class_1
64,6,Class_1
65,6,Class_1
66,9,Class_1
67,4,Class_1
68,4,Class_1
69,6,Class_1
70,9,Class_1
71,9,Class_1
72,4,Class_1
73,6,Class_1
74,4,Class_1
75,9,Class_1
76,4,Class_1
77,6,Class_1
78,9,Class_1
79,6,Class_1
80,6,Class_1
81,2,Class_1
82,6,Class_1
83,6,Class_1
84,4,Class_1
85,6,Class_1
86,9,Class_1
87,6,Class_1
88,6,Class_1
89,6,Class_1
90,4,Class_1
91,9,Class_1
92,9,Class_1
93,4,Class_1
94,6,Class_1
95,6,Class_1
96,6,Class_1
97,6,Class_1
98,9,Class_1
99,4,Class_1
100,9,Class_1
101,4,Class_1
102,6,Class_1
103,6,Class_1
104,4,Class_1
105,6,Class_1
106,6,Class_1
107,9,Class_1
108,9,Class_1
109,6,Class_1
110,6,Class_1
111,6,Class_1
112,6,Class_1
113,6,Class_1
114,9,Class_1
115,6,Class_1
116,6,Class_1
117,4,Class_1
118,6,Class_1
119,9,Class_1
120,6,Class_1
121,9,Class_1
122,9,Class_1
123,6,Class_1
124,9,Class_1
125,9,Class_1
126,6,Class_1
127,0,Class_1
128,4,Class_1
129,1,Class_1
130,2,Class_1
131,6,Class_1
132,9,Class_1
133,6,Class_1
134,9,Class_1
135,9,Class_1
136,6,Class_1
137,6,Class_1
138,4,Class_1
139,9,Class_1
140,9,Class_1
141,4,Class_1
142,9,Class_1
143,6,Class_1
144,6,Class_1
145,0,Class_1
146,9,Class_1
147,6,Class_1
148,9,Class_1
149,9,Class_1
150,9,Class_1
151,9,Class_1
152,6,Class_1
153,9,Class_1
154,6,Class_1
155,9,Class_1
156,9,Class_1
157,9,Class_1
158,6,Class_1
159,4,Class_1
160,6,Class_1
161,9,Class_1
162,9,Class_1
163,4,Class_1
164,6,Class_1
165,9,Class_1
166,9,Class_1
167,9,Class_1
168,6,Class_1
169,9,Class_1
170,9,Class_1
171,4,Class_1
172,9,Class_1
173,6,Class_1
174,9,Class_1
175,9,Class_1
176,9,Class_1
177,6,Class_1
178,9,Class_1
179,4,Class_1
180,9,Class_1
181,9,Class_1
182,9,Class_1
183,6,Class_1
184,6,Class_1
185,6,Class_1
186,4,Class_1
187,9,Class_1
188,6,Class_1
189,9,Class_1
190,9,Class_1
191,9,Class_1
192,6,Class_1
193,6,Class_1
194,4,Class_1
195,4,Class_1
196,9,Class_1
197,6,Class_1
198,6,Class_1
199,6,Class_1
200,9,Class_1
201,4,Class_1
202,6,Class_1
203,6,Class_1
204,6,Class_1
205,9,Class_1
206,9,Class_1
207,4,Class_1
208,6,Class_1
209,6,Class_1
210,6,Class_1
211,9,Class_1
212,6,Class_1
213,9,Class_1
214,9,Class_1
215,9,Class_1
216,9,Class_1
217,9,Class_1
218,9,Class_1
219,9,Class_1
220,6,Class_1
221,6,Class_1
222,9,Class_1
223,9,Class_1
224,4,Class_1
225,9,Class_1
226,9,Class_1
227,6,Class_1
228,9,Class_1
229,9,Class_1
230,6,Class_1
231,6,Class_1
232,6,Class_1
233,9,Class_1
234,9,Class_1
235,6,Class_1
236,9,Class_1
237,9,Class_1
238,6,Class_1
239,9,Class_1
240,9,Class_1
241,6,Class_1
242,6,Class_1
243,9,Class_1
244,6,Class_1
